"Time","Prink Latency","Baseline Latency"
2025-08-12 15:50:15,2.16 s,219 ms
2025-08-12 15:50:30,2.30 s,161 ms
2025-08-12 15:50:45,2.21 s,461 ms
2025-08-12 15:51:00,2.84 s,118 ms
2025-08-12 15:51:15,2.29 s,120 ms
2025-08-12 15:51:30,2.28 s,180 ms
2025-08-12 15:51:45,2.22 s,132 ms
2025-08-12 15:52:00,2.28 s,133 ms
2025-08-12 15:52:15,2.40 s,84.5 ms
2025-08-12 15:52:30,2.27 s,167 ms
2025-08-12 15:52:45,1.29 s,164 ms
2025-08-12 15:53:00,2.22 s,154 ms
2025-08-12 15:53:15,2.29 s,123 ms
2025-08-12 15:53:30,2.26 s,206 ms
2025-08-12 15:53:45,2.27 s,158 ms
2025-08-12 15:54:00,2.25 s,154 ms
2025-08-12 15:54:15,3.30 s,1.05 s
2025-08-12 15:54:30,2.25 s,765 ms
2025-08-12 15:54:45,2.22 s,74.9 ms
2025-08-12 15:55:00,2.23 s,160 ms
2025-08-12 15:55:15,2.15 s,141 ms
2025-08-12 15:55:30,2.23 s,150 ms
2025-08-12 15:55:45,2.24 s,129 ms
2025-08-12 15:56:00,2.25 s,161 ms
2025-08-12 15:56:15,2.22 s,159 ms
2025-08-12 15:56:30,2.35 s,195 ms
2025-08-12 15:56:45,2.32 s,201 ms
2025-08-12 15:57:00,2.24 s,130 ms
2025-08-12 15:57:15,2.30 s,252 ms
2025-08-12 15:57:30,2.31 s,190 ms
2025-08-12 15:57:45,2.19 s,111 ms
2025-08-12 15:58:00,2.26 s,168 ms
2025-08-12 15:58:15,2.21 s,112 ms
2025-08-12 15:58:30,2.11 s,149 ms
2025-08-12 15:58:45,2.24 s,145 ms
2025-08-12 15:59:00,3.29 s,267 ms
2025-08-12 15:59:15,2.23 s,129 ms
2025-08-12 15:59:30,2.27 s,122 ms
2025-08-12 15:59:45,2.38 s,229 ms
2025-08-12 16:00:00,2.29 s,219 ms
2025-08-12 16:00:15,2.26 s,181 ms
2025-08-12 16:00:30,2.25 s,95.0 ms
2025-08-12 16:00:45,2.26 s,95.6 ms
2025-08-12 16:01:00,2.22 s,111 ms
2025-08-12 16:01:15,2.23 s,97.1 ms
2025-08-12 16:01:30,2.39 s,76.8 ms
2025-08-12 16:01:45,2.20 s,146 ms
2025-08-12 16:02:00,2.53 s,137 ms
2025-08-12 16:02:15,2.33 s,1.16 s
2025-08-12 16:02:30,2.24 s,174 ms
2025-08-12 16:02:45,2.15 s,106 ms
2025-08-12 16:03:00,2.17 s,100 ms
2025-08-12 16:03:15,2.24 s,117 ms
2025-08-12 16:03:30,2.27 s,134 ms
2025-08-12 16:03:45,3.30 s,171 ms
2025-08-12 16:04:00,2.24 s,166 ms
2025-08-12 16:04:15,2.23 s,133 ms
2025-08-12 16:04:30,2.27 s,118 ms
2025-08-12 16:04:45,2.22 s,116 ms
2025-08-12 16:05:00,2.22 s,111 ms
2025-08-12 16:05:15,2.13 s,93.4 ms
2025-08-12 16:05:30,3.08 s,157 ms
2025-08-12 16:05:45,2.28 s,232 ms
2025-08-12 16:06:00,2.34 s,170 ms
2025-08-12 16:06:15,2.36 s,236 ms
2025-08-12 16:06:30,2.26 s,196 ms
2025-08-12 16:06:45,2.21 s,90.5 ms
2025-08-12 16:07:00,2.18 s,98.3 ms
2025-08-12 16:07:15,2.17 s,108 ms
2025-08-12 16:07:30,2.36 s,1.05 s
2025-08-12 16:07:45,2.23 s,1.05 s
2025-08-12 16:08:00,2.29 s,106 ms
2025-08-12 16:08:15,2.29 s,215 ms
2025-08-12 16:08:30,2.21 s,109 ms
2025-08-12 16:08:45,2.25 s,163 ms
2025-08-12 16:09:00,2.40 s,125 ms
2025-08-12 16:09:15,2.19 s,145 ms
2025-08-12 16:09:30,2.34 s,103 ms
2025-08-12 16:09:45,2.32 s,107 ms
2025-08-12 16:10:00,2.28 s,108 ms
2025-08-12 16:10:15,2.16 s,111 ms
2025-08-12 16:10:30,2.29 s,169 ms
2025-08-12 16:10:45,2.15 s,1.06 s
2025-08-12 16:11:00,2.33 s,57.4 ms
2025-08-12 16:11:15,2.44 s,246 ms
2025-08-12 16:11:30,3.09 s,110 ms
2025-08-12 16:11:45,2.80 s,113 ms
2025-08-12 16:12:00,2.28 s,157 ms
2025-08-12 16:12:15,2.30 s,137 ms
2025-08-12 16:12:30,2.31 s,220 ms
2025-08-12 16:12:45,2.65 s,560 ms
2025-08-12 16:13:00,2.27 s,158 ms
2025-08-12 16:13:15,2.24 s,278 ms
2025-08-12 16:13:30,2.23 s,153 ms
2025-08-12 16:13:45,2.18 s,252 ms
2025-08-12 16:14:00,2.26 s,248 ms
2025-08-12 16:14:15,2.21 s,84.0 ms
2025-08-12 16:14:30,2.33 s,232 ms
2025-08-12 16:14:45,2.21 s,95.5 ms
2025-08-12 16:15:00,2.22 s,115 ms
2025-08-12 16:15:15,2.45 s,170 ms
2025-08-12 16:15:30,2.27 s,146 ms
2025-08-12 16:15:45,2.24 s,114 ms
2025-08-12 16:16:00,2.21 s,193 ms
2025-08-12 16:16:15,2.24 s,137 ms
2025-08-12 16:16:30,2.79 s,1.05 s
2025-08-12 16:16:45,2.29 s,225 ms
2025-08-12 16:17:00,2.17 s,155 ms
2025-08-12 16:17:15,2.60 s,231 ms
2025-08-12 16:17:30,2.18 s,109 ms
2025-08-12 16:17:45,2.35 s,278 ms
2025-08-12 16:18:00,2.22 s,1.12 s
2025-08-12 16:18:15,2.30 s,164 ms
