"Time","Observed l","Defined l"
2025-08-12 15:50:15,5,5
2025-08-12 15:50:30,5,5
2025-08-12 15:50:45,5,5
2025-08-12 15:51:00,5,5
2025-08-12 15:51:15,5,5
2025-08-12 15:51:30,5,5
2025-08-12 15:51:45,3,5
2025-08-12 15:52:00,5,5
2025-08-12 15:52:15,5,5
2025-08-12 15:52:30,5,5
2025-08-12 15:52:45,5,5
2025-08-12 15:53:00,5,5
2025-08-12 15:53:15,5,5
2025-08-12 15:53:30,1,5
2025-08-12 15:53:45,5,5
2025-08-12 15:54:00,5,5
2025-08-12 15:54:15,5,5
2025-08-12 15:54:30,5,5
2025-08-12 15:54:45,5,5
2025-08-12 15:55:00,5,5
2025-08-12 15:55:15,5,5
2025-08-12 15:55:30,3,5
2025-08-12 15:55:45,5,5
2025-08-12 15:56:00,5,5
2025-08-12 15:56:15,5,5
2025-08-12 15:56:30,5,5
2025-08-12 15:56:45,5,5
2025-08-12 15:57:00,5,5
2025-08-12 15:57:15,5,5
2025-08-12 15:57:30,3,5
2025-08-12 15:57:45,5,5
2025-08-12 15:58:00,5,5
2025-08-12 15:58:15,5,5
2025-08-12 15:58:30,5,5
2025-08-12 15:58:45,5,5
2025-08-12 15:59:00,5,5
2025-08-12 15:59:15,5,5
2025-08-12 15:59:30,5,5
2025-08-12 15:59:45,5,5
2025-08-12 16:00:00,5,5
2025-08-12 16:00:15,5,5
2025-08-12 16:00:30,5,5
2025-08-12 16:00:45,5,5
2025-08-12 16:01:00,5,5
2025-08-12 16:01:15,5,5
2025-08-12 16:01:30,5,5
2025-08-12 16:01:45,2,5
2025-08-12 16:02:00,2,5
2025-08-12 16:02:15,3,5
2025-08-12 16:02:30,3,5
2025-08-12 16:02:45,3,5
2025-08-12 16:03:00,3,5
2025-08-12 16:03:15,3,5
2025-08-12 16:03:30,3,5
2025-08-12 16:03:45,3,5
2025-08-12 16:04:00,3,5
2025-08-12 16:04:15,3,5
2025-08-12 16:04:30,3,5
2025-08-12 16:04:45,3,5
2025-08-12 16:05:00,3,5
2025-08-12 16:05:15,3,5
2025-08-12 16:05:30,3,5
2025-08-12 16:05:45,3,5
2025-08-12 16:06:00,3,5
2025-08-12 16:06:15,3,5
2025-08-12 16:06:30,3,5
2025-08-12 16:06:45,3,5
2025-08-12 16:07:00,3,5
2025-08-12 16:07:15,3,5
2025-08-12 16:07:30,3,5
2025-08-12 16:07:45,3,5
2025-08-12 16:08:00,3,5
2025-08-12 16:08:15,3,5
2025-08-12 16:08:30,3,5
2025-08-12 16:08:45,3,5
2025-08-12 16:09:00,3,5
2025-08-12 16:09:15,3,5
2025-08-12 16:09:30,3,5
2025-08-12 16:09:45,3,5
2025-08-12 16:10:00,3,5
2025-08-12 16:10:15,3,5
2025-08-12 16:10:30,3,5
2025-08-12 16:10:45,5,5
2025-08-12 16:11:00,5,5
2025-08-12 16:11:15,5,5
2025-08-12 16:11:30,5,5
2025-08-12 16:11:45,5,5
2025-08-12 16:12:00,5,5
2025-08-12 16:12:15,5,5
2025-08-12 16:12:30,5,5
2025-08-12 16:12:45,5,5
2025-08-12 16:13:00,5,5
2025-08-12 16:13:15,5,5
2025-08-12 16:13:30,5,5
2025-08-12 16:13:45,5,5
2025-08-12 16:14:00,5,5
2025-08-12 16:14:15,5,5
2025-08-12 16:14:30,5,5
2025-08-12 16:14:45,5,5
2025-08-12 16:15:00,5,5
2025-08-12 16:15:15,5,5
2025-08-12 16:15:30,5,5
2025-08-12 16:15:45,5,5
2025-08-12 16:16:00,5,5
2025-08-12 16:16:15,5,5
2025-08-12 16:16:30,5,5
2025-08-12 16:16:45,3,5
2025-08-12 16:17:00,4,5
2025-08-12 16:17:15,4,5
2025-08-12 16:17:30,5,5
2025-08-12 16:17:45,5,5
2025-08-12 16:18:00,5,5
2025-08-12 16:18:15,5,5
2025-08-12 16:18:30,5,5
2025-08-12 16:18:45,5,5
2025-08-12 16:19:00,5,5
2025-08-12 16:19:15,5,5
2025-08-12 16:19:30,5,5
2025-08-12 16:19:45,5,5
2025-08-12 16:20:00,5,5
2025-08-12 16:20:15,5,5
2025-08-12 16:20:30,5,5
2025-08-12 16:20:45,5,5
2025-08-12 16:21:00,5,5
2025-08-12 16:21:15,5,5
2025-08-12 16:21:30,5,5
