"Time","infromation loss"
2025-08-12 15:09:15,69%
2025-08-12 15:09:30,69%
2025-08-12 15:09:45,69%
2025-08-12 15:10:00,72%
2025-08-12 15:10:15,73%
2025-08-12 15:10:30,58%
2025-08-12 15:10:45,47%
2025-08-12 15:11:00,47%
2025-08-12 15:11:15,68%
2025-08-12 15:11:30,73%
2025-08-12 15:11:45,64%
2025-08-12 15:12:00,55%
2025-08-12 15:12:15,62%
2025-08-12 15:12:30,73%
2025-08-12 15:12:45,48%
2025-08-12 15:13:00,64%
2025-08-12 15:13:15,73%
2025-08-12 15:13:30,38%
2025-08-12 15:13:45,70%
2025-08-12 15:14:00,62%
2025-08-12 15:14:15,62%
2025-08-12 15:14:30,63%
2025-08-12 15:14:45,73%
2025-08-12 15:15:00,73%
2025-08-12 15:15:15,65%
2025-08-12 15:15:30,53%
2025-08-12 15:15:45,61%
2025-08-12 15:16:00,69%
2025-08-12 15:16:15,69%
2025-08-12 15:16:30,69%
2025-08-12 15:16:45,47%
2025-08-12 15:17:00,43%
2025-08-12 15:17:15,38%
2025-08-12 15:17:30,53%
2025-08-12 15:17:45,45%
2025-08-12 15:18:00,48%
2025-08-12 15:18:15,53%
2025-08-12 15:18:30,73%
2025-08-12 15:18:45,51%
2025-08-12 15:19:00,50%
2025-08-12 15:19:15,73%
2025-08-12 15:19:30,53%
2025-08-12 15:19:45,51%
2025-08-12 15:20:00,60%
2025-08-12 15:20:15,60%
2025-08-12 15:20:30,60%
2025-08-12 15:20:45,60%
2025-08-12 15:21:00,59%
2025-08-12 15:21:15,59%
2025-08-12 15:21:30,63%
2025-08-12 15:21:45,63%
2025-08-12 15:22:00,57%
2025-08-12 15:22:15,57%
2025-08-12 15:22:30,57%
2025-08-12 15:22:45,62%
2025-08-12 15:23:00,65%
2025-08-12 15:23:15,65%
2025-08-12 15:23:30,65%
2025-08-12 15:23:45,68%
2025-08-12 15:24:00,73%
2025-08-12 15:24:15,54%
2025-08-12 15:24:30,60%
2025-08-12 15:24:45,60%
2025-08-12 15:25:00,48%
2025-08-12 15:25:15,43%
2025-08-12 15:25:30,54%
2025-08-12 15:25:45,54%
2025-08-12 15:26:00,54%
2025-08-12 15:26:15,54%
2025-08-12 15:26:30,54%
2025-08-12 15:26:45,54%
2025-08-12 15:27:00,54%
2025-08-12 15:27:15,73%
2025-08-12 15:27:30,73%
2025-08-12 15:27:45,73%
2025-08-12 15:28:00,47%
2025-08-12 15:28:15,73%
2025-08-12 15:28:30,53%
2025-08-12 15:28:45,51%
2025-08-12 15:29:00,53%
2025-08-12 15:29:15,53%
2025-08-12 15:29:30,53%
2025-08-12 15:29:45,68%
2025-08-12 15:30:00,68%
2025-08-12 15:30:15,68%
2025-08-12 15:30:30,68%
2025-08-12 15:30:45,68%
2025-08-12 15:31:00,44%
2025-08-12 15:31:15,44%
2025-08-12 15:31:30,44%
2025-08-12 15:31:45,49%
2025-08-12 15:32:00,69%
2025-08-12 15:32:15,69%
2025-08-12 15:32:30,69%
2025-08-12 15:32:45,69%
2025-08-12 15:33:00,65%
2025-08-12 15:33:15,65%
2025-08-12 15:33:30,65%
2025-08-12 15:33:45,65%
2025-08-12 15:34:00,65%
2025-08-12 15:34:15,65%
2025-08-12 15:34:30,70%
2025-08-12 15:34:45,70%
2025-08-12 15:35:00,71%
2025-08-12 15:35:15,58%
2025-08-12 15:35:30,58%
2025-08-12 15:35:45,58%
2025-08-12 15:36:00,58%
2025-08-12 15:36:15,58%
2025-08-12 15:36:30,58%
2025-08-12 15:36:45,54%
2025-08-12 15:37:00,63%
2025-08-12 15:37:15,71%
2025-08-12 15:37:30,44%
2025-08-12 15:37:45,44%
2025-08-12 15:38:00,44%
2025-08-12 15:38:15,44%
2025-08-12 15:38:30,57%
2025-08-12 15:38:45,57%
2025-08-12 15:39:00,57%
2025-08-12 15:39:15,57%
2025-08-12 15:39:30,57%
2025-08-12 15:39:45,57%
2025-08-12 15:40:00,57%
2025-08-12 15:40:15,57%
2025-08-12 15:40:30,62%
