"Time","Prink Latency"
2025-08-12 15:09:30,2.28 s
2025-08-12 15:09:45,2.34 s
2025-08-12 15:10:00,2.23 s
2025-08-12 15:10:15,2.31 s
2025-08-12 15:10:30,2.38 s
2025-08-12 15:10:45,2.43 s
2025-08-12 15:11:00,2.36 s
2025-08-12 15:11:15,2.25 s
2025-08-12 15:11:30,2.34 s
2025-08-12 15:11:45,2.22 s
2025-08-12 15:12:00,2.19 s
2025-08-12 15:12:15,2.25 s
2025-08-12 15:12:30,2.26 s
2025-08-12 15:12:45,2.27 s
2025-08-12 15:13:00,2.26 s
2025-08-12 15:13:15,2.32 s
2025-08-12 15:13:30,3.18 s
2025-08-12 15:13:45,2.24 s
2025-08-12 15:14:00,2.21 s
2025-08-12 15:14:15,2.22 s
2025-08-12 15:14:30,2.18 s
2025-08-12 15:14:45,2.25 s
2025-08-12 15:15:00,2.18 s
2025-08-12 15:15:15,3.13 s
2025-08-12 15:15:30,2.30 s
2025-08-12 15:15:45,2.20 s
2025-08-12 15:16:00,2.24 s
2025-08-12 15:16:15,2.27 s
2025-08-12 15:16:30,2.27 s
2025-08-12 15:16:45,2.25 s
2025-08-12 15:17:00,2.34 s
2025-08-12 15:17:15,2.20 s
2025-08-12 15:17:30,2.23 s
2025-08-12 15:17:45,2.24 s
2025-08-12 15:18:00,2.27 s
2025-08-12 15:18:15,2.24 s
2025-08-12 15:18:30,2.22 s
2025-08-12 15:18:45,2.21 s
2025-08-12 15:19:00,2.19 s
2025-08-12 15:19:15,2.24 s
2025-08-12 15:19:30,2.29 s
2025-08-12 15:19:45,2.20 s
2025-08-12 15:20:00,2.17 s
2025-08-12 15:20:15,2.21 s
2025-08-12 15:20:30,2.23 s
2025-08-12 15:20:45,2.24 s
2025-08-12 15:21:00,2.18 s
2025-08-12 15:21:15,2.18 s
2025-08-12 15:21:30,2.29 s
2025-08-12 15:21:45,2.27 s
2025-08-12 15:22:00,2.23 s
2025-08-12 15:22:15,2.20 s
2025-08-12 15:22:30,2.60 s
2025-08-12 15:22:45,2.21 s
2025-08-12 15:23:00,2.26 s
2025-08-12 15:23:15,2.22 s
2025-08-12 15:23:30,2.20 s
2025-08-12 15:23:45,2.21 s
2025-08-12 15:24:00,2.29 s
2025-08-12 15:24:15,2.18 s
2025-08-12 15:24:30,2.38 s
2025-08-12 15:24:45,2.20 s
2025-08-12 15:25:00,2.26 s
2025-08-12 15:25:15,2.19 s
2025-08-12 15:25:30,2.20 s
2025-08-12 15:25:45,2.21 s
2025-08-12 15:26:00,2.19 s
2025-08-12 15:26:15,2.28 s
2025-08-12 15:26:30,2.17 s
2025-08-12 15:26:45,2.23 s
2025-08-12 15:27:00,2.20 s
2025-08-12 15:27:15,2.18 s
2025-08-12 15:27:30,2.25 s
2025-08-12 15:27:45,2.21 s
2025-08-12 15:28:00,2.25 s
2025-08-12 15:28:15,2.22 s
2025-08-12 15:28:30,2.29 s
2025-08-12 15:28:45,2.23 s
2025-08-12 15:29:00,2.18 s
2025-08-12 15:29:15,2.16 s
2025-08-12 15:29:30,2.27 s
2025-08-12 15:29:45,2.27 s
2025-08-12 15:30:00,2.21 s
2025-08-12 15:30:15,2.48 s
2025-08-12 15:30:30,2.36 s
2025-08-12 15:30:45,2.20 s
2025-08-12 15:31:00,2.63 s
2025-08-12 15:31:15,2.26 s
2025-08-12 15:31:30,2.24 s
2025-08-12 15:31:45,2.22 s
2025-08-12 15:32:00,2.19 s
2025-08-12 15:32:15,2.34 s
2025-08-12 15:32:30,2.18 s
2025-08-12 15:32:45,2.17 s
2025-08-12 15:33:00,2.20 s
2025-08-12 15:33:15,2.25 s
2025-08-12 15:33:30,2.21 s
2025-08-12 15:33:45,2.27 s
2025-08-12 15:34:00,2.29 s
2025-08-12 15:34:15,2.76 s
2025-08-12 15:34:30,2.21 s
2025-08-12 15:34:45,2.23 s
2025-08-12 15:35:00,2.22 s
2025-08-12 15:35:15,2.25 s
2025-08-12 15:35:30,2.16 s
2025-08-12 15:35:45,2.29 s
2025-08-12 15:36:00,2.19 s
2025-08-12 15:36:15,2.25 s
2025-08-12 15:36:30,2.24 s
2025-08-12 15:36:45,2.20 s
2025-08-12 15:37:00,2.23 s
2025-08-12 15:37:15,2.27 s
2025-08-12 15:37:30,2.24 s
2025-08-12 15:37:45,2.25 s
2025-08-12 15:38:00,2.21 s
2025-08-12 15:38:15,2.18 s
2025-08-12 15:38:30,2.25 s
2025-08-12 15:38:45,2.21 s
2025-08-12 15:39:00,2.27 s
2025-08-12 15:39:15,2.26 s
2025-08-12 15:39:30,2.27 s
2025-08-12 15:39:45,2.33 s
2025-08-12 15:40:00,2.17 s
2025-08-12 15:40:15,2.25 s
2025-08-12 15:40:30,2.27 s
