"Time","Prink Latency","Baseline Latency"
2025-08-11 13:45:30,52.3 s,54.6 s
2025-08-11 13:45:45,52.6 s,53.7 s
2025-08-11 13:46:00,52.3 s,53.7 s
2025-08-11 13:46:15,52.3 s,53.7 s
2025-08-11 13:46:45,51.4 s,54.1 s
2025-08-11 13:47:00,49.6 s,49.8 s
2025-08-11 13:47:15,48.8 s,47.2 s
2025-08-11 13:47:30,48.0 s,43.1 s
2025-08-11 13:48:00,48.0 s,42.6 s
2025-08-11 13:48:15,48.0 s,41.4 s
2025-08-11 13:48:45,48.6 s,41.4 s
2025-08-11 13:49:00,55.6 s,41.5 s
2025-08-11 13:49:15,58.6 s,38.2 s
2025-08-11 13:49:30,1.01 mins,32.6 s
2025-08-11 13:49:45,1.03 mins,30.1 s
2025-08-11 13:50:30,1.03 mins,28.8 s
2025-08-11 13:50:45,1.05 mins,28.6 s
2025-08-11 13:51:30,1.05 mins,28.5 s
2025-08-11 13:51:45,1.05 mins,27.8 s
2025-08-11 13:52:45,1.05 mins,26.9 s
2025-08-11 13:53:00,1.05 mins,26.8 s
2025-08-11 13:54:00,1.07 mins,25.6 s
2025-08-11 13:54:15,1.07 mins,24.7 s
2025-08-11 13:54:30,1.10 mins,23.8 s
2025-08-11 13:54:45,1.12 mins,21.7 s
2025-08-11 13:56:00,1.14 mins,20.0 s
2025-08-11 13:56:15,1.17 mins,17.0 s
2025-08-11 13:56:30,1.25 mins,14.5 s
2025-08-11 13:56:45,1.25 mins,14.6 s
2025-08-11 13:57:00,1.27 mins,13.7 s
2025-08-11 13:57:15,1.29 mins,8.41 s
2025-08-11 13:57:30,1.55 mins,17.7 s
2025-08-11 13:59:30,1.55 mins,17.7 s
2025-08-11 13:59:45,1.56 mins,18.1 s
2025-08-11 14:00:00,1.57 mins,14.6 s
2025-08-11 14:00:15,1.57 mins,9.07 s
2025-08-11 14:02:00,16.0 mins,6.96 mins
2025-08-11 14:02:15,16.0 mins,6.95 mins
2025-08-11 14:02:30,16.0 mins,6.92 mins
2025-08-11 14:02:45,16.0 mins,6.92 mins
2025-08-11 14:03:00,16.0 mins,6.79 mins
2025-08-11 14:03:15,16.1 mins,6.64 mins
2025-08-11 14:03:45,16.1 mins,6.52 mins
2025-08-11 14:04:00,16.1 mins,6.42 mins
2025-08-11 14:04:15,16.1 mins,6.42 mins
2025-08-11 14:04:45,16.1 mins,6.41 mins
2025-08-11 14:05:00,16.1 mins,6.41 mins
2025-08-11 14:05:30,16.1 mins,6.41 mins
2025-08-11 14:05:45,16.1 mins,6.38 mins
2025-08-11 14:06:15,16.1 mins,6.38 mins
2025-08-11 14:06:30,16.1 mins,6.38 mins
2025-08-11 14:07:30,16.1 mins,6.36 mins
2025-08-11 14:07:45,16.1 mins,6.33 mins
2025-08-11 14:08:30,16.1 mins,6.33 mins
2025-08-11 14:08:45,16.2 mins,6.31 mins
2025-08-11 14:09:45,16.2 mins,6.29 mins
2025-08-11 14:10:00,16.2 mins,6.29 mins
2025-08-11 14:10:15,16.2 mins,6.26 mins
2025-08-11 14:12:00,16.2 mins,6.28 mins
2025-08-11 14:12:15,16.2 mins,6.27 mins
2025-08-11 14:12:30,16.2 mins,6.26 mins
2025-08-11 14:12:45,16.2 mins,6.16 mins
2025-08-11 14:13:00,16.3 mins,6.11 mins
2025-08-11 14:13:15,16.3 mins,6.00 mins
2025-08-11 14:13:30,16.5 mins,5.97 mins
2025-08-11 14:13:45,16.5 mins,5.87 mins
2025-08-11 14:14:00,16.6 mins,5.88 mins
2025-08-11 14:14:15,16.6 mins,5.77 mins
2025-08-11 14:16:15,16.6 mins,5.76 mins
2025-08-11 14:16:30,16.7 mins,5.75 mins
2025-08-11 14:18:15,31.4 mins,12.0 mins
2025-08-11 14:18:30,31.4 mins,12.0 mins
2025-08-11 14:18:45,31.4 mins,11.9 mins
2025-08-11 14:19:00,31.5 mins,11.8 mins
2025-08-11 14:19:15,31.5 mins,11.8 mins
2025-08-11 14:19:30,31.5 mins,11.8 mins
2025-08-11 14:19:45,31.5 mins,11.8 mins
2025-08-11 14:20:15,31.5 mins,11.8 mins
2025-08-11 14:20:30,31.5 mins,11.8 mins
2025-08-11 14:21:00,31.5 mins,11.7 mins
2025-08-11 14:21:15,31.5 mins,11.7 mins
2025-08-11 14:22:00,31.5 mins,11.7 mins
2025-08-11 14:22:15,31.5 mins,11.7 mins
2025-08-11 14:22:45,31.5 mins,11.7 mins
2025-08-11 14:23:00,31.5 mins,11.7 mins
2025-08-11 14:24:00,31.6 mins,11.8 mins
2025-08-11 14:24:15,31.6 mins,11.8 mins
2025-08-11 14:25:15,31.6 mins,11.8 mins
2025-08-11 14:25:30,31.9 mins,12.0 mins
2025-08-11 14:25:45,31.9 mins,12.0 mins
2025-08-11 14:27:00,32.0 mins,12.0 mins
2025-08-11 14:27:15,32.1 mins,12.1 mins
2025-08-11 14:27:30,32.1 mins,12.0 mins
2025-08-11 14:27:45,32.1 mins,12.0 mins
2025-08-11 14:31:15,32.1 mins,12.0 mins
2025-08-11 14:31:30,32.1 mins,12.0 mins
2025-08-11 14:31:45,32.1 mins,12.0 mins
2025-08-11 14:33:45,46.3 mins,17.2 mins
2025-08-11 14:34:00,46.3 mins,16.9 mins
2025-08-11 14:34:15,46.3 mins,16.9 mins
2025-08-11 14:34:30,46.3 mins,16.9 mins
2025-08-11 14:34:45,46.3 mins,16.9 mins
