"Time","Prink Latency","Baseline Latency"
2025-08-11 15:50:30,52.7 s,58.6 s
2025-08-11 15:50:45,52.1 s,57.2 s
2025-08-11 15:51:00,51.0 s,56.9 s
2025-08-11 15:51:15,51.0 s,55.6 s
2025-08-11 15:51:30,51.0 s,55.6 s
2025-08-11 15:52:00,51.0 s,54.4 s
2025-08-11 15:52:15,51.3 s,54.4 s
2025-08-11 15:53:00,49.9 s,54.4 s
2025-08-11 15:53:15,49.2 s,54.8 s
2025-08-11 15:54:00,48.1 s,54.2 s
2025-08-11 15:54:15,48.1 s,53.3 s
2025-08-11 15:54:30,46.6 s,52.1 s
2025-08-11 15:55:30,46.6 s,50.7 s
2025-08-11 15:55:45,46.6 s,50.6 s
2025-08-11 15:56:00,42.8 s,43.7 s
2025-08-11 15:56:15,37.2 s,35.8 s
2025-08-11 15:56:30,36.8 s,34.0 s
2025-08-11 15:56:45,36.2 s,30.9 s
2025-08-11 15:57:00,34.8 s,26.5 s
2025-08-11 15:58:15,36.2 s,25.0 s
2025-08-11 15:58:30,36.8 s,22.7 s
2025-08-11 15:58:45,36.6 s,21.7 s
2025-08-11 15:59:00,37.3 s,19.7 s
2025-08-11 16:00:15,37.5 s,20.1 s
2025-08-11 16:00:30,37.5 s,19.6 s
2025-08-11 16:00:45,40.2 s,18.0 s
2025-08-11 16:01:00,41.4 s,14.9 s
2025-08-11 16:01:15,42.1 s,12.9 s
2025-08-11 16:01:30,46.5 s,11.4 s
2025-08-11 16:03:15,46.3 s,8.62 s
2025-08-11 16:03:30,46.9 s,8.69 s
2025-08-11 16:03:45,47.1 s,8.20 s
2025-08-11 16:04:00,47.9 s,7.93 s
2025-08-11 16:04:15,47.9 s,7.93 s
2025-08-11 16:06:15,48.2 s,9.02 s
2025-08-11 16:06:30,55.8 s,12.3 s
2025-08-11 16:06:45,56.9 s,11.9 s
2025-08-11 16:07:00,57.2 s,9.46 s
2025-08-11 16:07:15,58.5 s,6.39 s
2025-08-11 16:08:15,15.7 mins,8.78 mins
2025-08-11 16:08:30,15.7 mins,8.77 mins
2025-08-11 16:08:45,15.8 mins,8.76 mins
2025-08-11 16:09:00,15.7 mins,8.76 mins
2025-08-11 16:09:15,15.7 mins,8.76 mins
2025-08-11 16:09:30,15.7 mins,8.77 mins
2025-08-11 16:09:45,15.7 mins,8.74 mins
2025-08-11 16:10:00,15.7 mins,8.74 mins
2025-08-11 16:10:15,15.7 mins,8.74 mins
2025-08-11 16:10:45,15.7 mins,8.72 mins
2025-08-11 16:11:00,15.7 mins,8.72 mins
2025-08-11 16:11:45,15.7 mins,8.70 mins
2025-08-11 16:12:00,15.7 mins,8.70 mins
2025-08-11 16:12:45,15.7 mins,8.70 mins
2025-08-11 16:13:00,15.7 mins,8.68 mins
2025-08-11 16:14:00,15.7 mins,8.67 mins
2025-08-11 16:14:15,15.7 mins,8.65 mins
2025-08-11 16:14:30,15.7 mins,8.60 mins
2025-08-11 16:14:45,15.7 mins,8.51 mins
2025-08-11 16:15:00,15.7 mins,8.45 mins
2025-08-11 16:15:15,15.8 mins,8.36 mins
2025-08-11 16:15:30,15.8 mins,8.33 mins
2025-08-11 16:16:30,15.8 mins,8.33 mins
2025-08-11 16:16:45,15.8 mins,8.32 mins
2025-08-11 16:17:00,15.8 mins,8.31 mins
2025-08-11 16:17:15,15.8 mins,8.28 mins
2025-08-11 16:18:30,15.8 mins,8.28 mins
2025-08-11 16:18:45,15.8 mins,8.27 mins
2025-08-11 16:19:00,15.9 mins,8.25 mins
