"Time","Prink Latency","Baseline Latency"
2025-08-10 15:56:30,52.7 s,1.03 mins
2025-08-10 15:56:45,1.08 mins,1.12 mins
2025-08-10 15:57:00,1.08 mins,1.05 mins
2025-08-10 15:57:15,1.13 mins,56.4 s
2025-08-10 15:57:30,1.13 mins,51.0 s
2025-08-10 15:57:45,1.16 mins,39.2 s
2025-08-10 15:58:00,1.24 mins,35.7 s
2025-08-10 15:58:15,1.24 mins,29.8 s
2025-08-10 15:58:30,1.30 mins,26.9 s
2025-08-10 15:58:45,1.35 mins,19.6 s
2025-08-10 15:59:00,1.55 mins,20.3 s
2025-08-10 15:59:15,1.55 mins,19.2 s
2025-08-10 15:59:30,1.55 mins,19.2 s
2025-08-10 15:59:45,1.55 mins,12.2 s
2025-08-10 16:00:00,1.58 mins,11.9 s
2025-08-10 16:00:15,1.56 mins,7.05 s
2025-08-10 16:00:30,1.57 mins,5.54 s
2025-08-10 16:00:45,1.58 mins,5.34 s
2025-08-10 16:01:00,1.72 mins,2.28 s
2025-08-10 16:01:15,1.85 mins,541 ms
2025-08-10 16:01:45,1.98 mins,7.45 s
2025-08-10 16:02:00,2.05 mins,11.5 s
2025-08-10 16:02:30,2.20 mins,16.3 s
2025-08-10 16:03:00,2.20 mins,16.3 s
2025-08-10 16:03:15,2.30 mins,20.7 s
2025-08-10 16:03:30,2.32 mins,17.3 s
2025-08-10 16:04:15,2.37 mins,11.7 s
2025-08-10 16:04:30,2.37 mins,11.2 s
2025-08-10 16:04:45,2.41 mins,3.49 s
2025-08-10 16:05:00,2.44 mins,1.06 s
2025-08-10 16:05:45,2.45 mins,720 ms
2025-08-10 16:06:00,2.46 mins,1.08 s
2025-08-10 16:06:15,2.60 mins,4.48 s
2025-08-10 16:06:30,2.59 mins,1.53 s
2025-08-10 16:07:30,2.59 mins,1.46 s
2025-08-10 16:07:45,2.66 mins,2.08 s
2025-08-10 16:08:00,2.94 mins,10.9 s
2025-08-10 16:08:15,3.37 mins,25.9 s
2025-08-10 16:08:30,3.37 mins,21.2 s
2025-08-10 16:08:45,3.35 mins,12.4 s
2025-08-10 16:10:00,3.35 mins,12.5 s
2025-08-10 16:10:15,3.35 mins,10.6 s
2025-08-10 16:10:30,3.39 mins,26.1 s
2025-08-10 16:10:45,3.73 mins,22.3 s
2025-08-10 16:11:00,3.79 mins,20.5 s
2025-08-10 16:11:15,3.82 mins,15.5 s
2025-08-10 16:11:30,3.83 mins,1.79 s
2025-08-10 16:12:30,4.18 mins,21.7 s
2025-08-10 16:12:45,4.18 mins,20.0 s
2025-08-10 16:13:00,4.18 mins,17.6 s
2025-08-10 16:14:00,4.19 mins,15.9 s
2025-08-10 16:14:15,4.19 mins,15.8 s
2025-08-10 16:14:30,4.19 mins,13.2 s
2025-08-10 16:16:00,4.19 mins,11.6 s
2025-08-10 16:16:15,4.19 mins,8.89 s
2025-08-10 16:16:30,4.20 mins,6.60 s
2025-08-10 16:18:15,4.20 mins,6.02 s
2025-08-10 16:18:30,4.20 mins,6.02 s
2025-08-10 16:18:45,4.53 mins,13.7 s
2025-08-10 16:19:00,5.26 mins,49.2 s
2025-08-10 16:19:15,5.24 mins,42.5 s
2025-08-10 16:19:30,5.26 mins,30.6 s
2025-08-10 16:19:45,5.72 mins,40.7 s
2025-08-10 16:20:00,5.74 mins,26.1 s
2025-08-10 16:20:15,6.31 mins,32.4 s
2025-08-10 16:20:30,6.30 mins,27.2 s
2025-08-10 16:20:45,6.31 mins,25.7 s
