"Time","Prink Latency","Baseline Latency"
2025-08-11 13:02:30,54.8 s,
2025-08-11 13:02:45,54.4 s,59.0 s
2025-08-11 13:03:00,53.2 s,55.4 s
2025-08-11 13:03:15,44.0 s,47.6 s
2025-08-11 13:03:30,38.4 s,36.4 s
2025-08-11 13:03:45,34.7 s,32.6 s
2025-08-11 13:04:15,33.0 s,29.2 s
2025-08-11 13:04:45,32.4 s,26.9 s
2025-08-11 13:05:00,32.9 s,26.9 s
2025-08-11 13:05:45,33.8 s,26.7 s
2025-08-11 13:06:00,36.4 s,19.2 s
2025-08-11 13:06:15,38.4 s,12.3 s
2025-08-11 13:06:30,40.1 s,6.35 s
2025-08-11 13:06:45,41.6 s,4.51 s
2025-08-11 13:07:00,47.5 s,166 ms
2025-08-11 13:07:15,53.5 s,49.7 ms
2025-08-11 13:07:30,1.04 mins,3.42 s
2025-08-11 13:07:45,1.09 mins,1.20 s
2025-08-11 13:08:00,1.20 mins,144 ms
2025-08-11 13:08:15,1.34 mins,3.46 s
2025-08-11 13:08:30,1.41 mins,285 ms
2025-08-11 13:08:45,1.47 mins,31.7 ms
2025-08-11 13:09:30,1.51 mins,11.7 ms
2025-08-11 13:09:45,1.51 mins,14.6 ms
2025-08-11 13:10:30,1.52 mins,19.5 ms
2025-08-11 13:10:45,1.52 mins,78.0 ms
2025-08-11 13:11:15,1.53 mins,126 ms
2025-08-11 13:11:30,1.54 mins,93.4 ms
2025-08-11 13:12:30,1.55 mins,38.8 ms
2025-08-11 13:12:45,1.55 mins,12.7 ms
2025-08-11 13:13:30,1.56 mins,7.73 ms
2025-08-11 13:13:45,1.89 mins,19.3 s
2025-08-11 13:15:00,1.89 mins,18.6 s
2025-08-11 13:15:15,1.89 mins,17.9 s
2025-08-11 13:15:30,1.92 mins,15.9 s
2025-08-11 13:17:00,1.92 mins,11.0 s
2025-08-11 13:17:15,1.92 mins,11.0 s
2025-08-11 13:17:30,1.92 mins,10.3 s
2025-08-11 13:19:45,16.3 mins,8.00 mins
2025-08-11 13:20:00,16.3 mins,7.99 mins
2025-08-11 13:20:15,16.3 mins,7.97 mins
2025-08-11 13:20:30,16.3 mins,7.95 mins
2025-08-11 13:21:00,16.3 mins,7.95 mins
2025-08-11 13:21:30,16.2 mins,7.96 mins
2025-08-11 13:21:45,16.2 mins,7.95 mins
2025-08-11 13:22:15,16.2 mins,7.94 mins
2025-08-11 13:22:30,16.2 mins,7.92 mins
2025-08-11 13:23:15,16.2 mins,7.91 mins
2025-08-11 13:23:30,16.3 mins,7.89 mins
2025-08-11 13:24:15,16.2 mins,7.89 mins
2025-08-11 13:24:30,16.2 mins,7.89 mins
2025-08-11 13:24:45,16.2 mins,7.88 mins
2025-08-11 13:25:45,16.2 mins,7.88 mins
2025-08-11 13:26:00,16.2 mins,7.85 mins
2025-08-11 13:28:00,16.2 mins,7.84 mins
2025-08-11 13:28:15,16.2 mins,7.77 mins
2025-08-11 13:28:30,16.2 mins,7.74 mins
2025-08-11 13:28:45,16.2 mins,7.73 mins
2025-08-11 13:29:00,16.2 mins,7.72 mins
2025-08-11 13:29:30,16.2 mins,7.72 mins
2025-08-11 13:30:45,26.5 mins,9.33 mins
2025-08-11 13:31:00,26.5 mins,9.31 mins
2025-08-11 13:31:15,26.5 mins,9.29 mins
2025-08-11 13:31:30,26.5 mins,9.28 mins
2025-08-11 13:31:45,26.5 mins,9.28 mins
2025-08-11 13:32:00,26.5 mins,9.28 mins
2025-08-11 13:32:15,26.5 mins,9.29 mins
2025-08-11 13:32:30,26.5 mins,9.29 mins
2025-08-11 13:32:45,26.5 mins,9.28 mins
2025-08-11 13:33:15,26.5 mins,9.27 mins
2025-08-11 13:33:30,26.5 mins,9.25 mins
2025-08-11 13:34:15,26.5 mins,9.25 mins
2025-08-11 13:34:30,26.5 mins,9.23 mins
