"Time","Observed l","Defined l"
2025-08-11 13:45:30,2,3
2025-08-11 13:45:45,2,3
2025-08-11 13:46:00,2,3
2025-08-11 13:46:15,2,3
2025-08-11 13:46:30,3,3
2025-08-11 13:46:45,3,3
2025-08-11 13:47:00,2,3
2025-08-11 13:47:15,3,3
2025-08-11 13:47:30,2,3
2025-08-11 13:47:45,2,3
2025-08-11 13:48:00,2,3
2025-08-11 13:48:15,2,3
2025-08-11 13:48:30,2,3
2025-08-11 13:48:45,2,3
2025-08-11 13:49:00,3,3
2025-08-11 13:49:15,3,3
2025-08-11 13:49:30,2,3
2025-08-11 13:49:45,2,3
2025-08-11 13:50:00,2,3
2025-08-11 13:50:15,2,3
2025-08-11 13:50:30,2,3
2025-08-11 13:50:45,3,3
2025-08-11 13:51:00,3,3
2025-08-11 13:51:15,2,3
2025-08-11 13:51:30,3,3
2025-08-11 13:51:45,2,3
2025-08-11 13:52:00,3,3
2025-08-11 13:52:15,3,3
2025-08-11 13:52:30,2,3
2025-08-11 13:52:45,2,3
2025-08-11 13:53:00,2,3
2025-08-11 13:53:15,2,3
2025-08-11 13:53:30,2,3
2025-08-11 13:53:45,3,3
2025-08-11 13:54:00,2,3
2025-08-11 13:54:15,2,3
2025-08-11 13:54:30,2,3
2025-08-11 13:54:45,3,3
2025-08-11 13:55:00,3,3
2025-08-11 13:55:15,2,3
2025-08-11 13:55:30,2,3
2025-08-11 13:55:45,1,3
2025-08-11 13:56:00,2,3
2025-08-11 13:56:15,2,3
2025-08-11 13:56:30,3,3
2025-08-11 13:56:45,3,3
2025-08-11 13:57:00,2,3
2025-08-11 13:57:15,2,3
2025-08-11 13:57:30,2,3
2025-08-11 13:57:45,2,3
2025-08-11 13:58:00,2,3
2025-08-11 13:58:15,2,3
2025-08-11 13:58:30,2,3
2025-08-11 13:58:45,3,3
2025-08-11 13:59:00,2,3
2025-08-11 13:59:15,2,3
2025-08-11 13:59:30,3,3
2025-08-11 13:59:45,3,3
2025-08-11 14:00:00,2,3
2025-08-11 14:00:15,3,3
2025-08-11 14:00:30,2,3
2025-08-11 14:00:45,2,3
2025-08-11 14:01:00,2,3
