"Time","Observed k","Defined k"
2025-08-11 15:05:30,20,5
2025-08-11 15:05:45,27,5
2025-08-11 15:06:00,37,5
2025-08-11 15:06:15,60,5
2025-08-11 15:06:30,159,5
2025-08-11 15:06:45,33,5
2025-08-11 15:07:00,39,5
2025-08-11 15:07:15,13,5
2025-08-11 15:07:30,119,5
2025-08-11 15:07:45,50,5
2025-08-11 15:08:00,18,5
2025-08-11 15:08:15,147,5
2025-08-11 15:08:30,10,5
2025-08-11 15:08:45,29,5
2025-08-11 15:09:00,14,5
2025-08-11 15:09:15,14,5
2025-08-11 15:09:30,23,5
2025-08-11 15:09:45,16,5
2025-08-11 15:10:00,17,5
2025-08-11 15:10:15,11,5
2025-08-11 15:10:30,20,5
2025-08-11 15:10:45,23,5
2025-08-11 15:11:00,7,5
2025-08-11 15:11:15,8,5
2025-08-11 15:11:30,17,5
2025-08-11 15:11:45,7,5
2025-08-11 15:12:00,131,5
2025-08-11 15:12:15,131,5
2025-08-11 15:12:30,11,5
2025-08-11 15:12:45,28,5
2025-08-11 15:13:00,7,5
2025-08-11 15:13:15,110,5
2025-08-11 15:13:30,8,5
2025-08-11 15:13:45,8,5
2025-08-11 15:14:00,28,5
2025-08-11 15:14:15,77,5
2025-08-11 15:14:30,6,5
2025-08-11 15:14:45,8,5
2025-08-11 15:15:00,30,5
2025-08-11 15:15:15,96,5
2025-08-11 15:15:30,7,5
2025-08-11 15:15:45,7,5
2025-08-11 15:16:00,28,5
2025-08-11 15:16:15,14,5
2025-08-11 15:16:30,8,5
2025-08-11 15:16:45,96,5
2025-08-11 15:17:00,96,5
2025-08-11 15:17:15,20,5
2025-08-11 15:17:30,20,5
2025-08-11 15:17:45,14,5
2025-08-11 15:18:00,14,5
2025-08-11 15:18:15,6,5
2025-08-11 15:18:30,14,5
2025-08-11 15:18:45,28,5
2025-08-11 15:19:00,19,5
2025-08-11 15:19:15,85,5
2025-08-11 15:19:30,48,5
2025-08-11 15:19:45,8,5
2025-08-11 15:20:00,24,5
2025-08-11 15:20:15,24,5
2025-08-11 15:20:30,8,5
2025-08-11 15:20:45,36,5
2025-08-11 15:21:00,14,5
2025-08-11 15:21:15,22,5
2025-08-11 15:21:30,18,5
2025-08-11 15:21:45,17,5
2025-08-11 15:22:00,17,5
2025-08-11 15:22:15,11,5
2025-08-11 15:22:30,17,5
2025-08-11 15:22:45,17,5
2025-08-11 15:23:00,9,5
2025-08-11 15:23:15,27,5
2025-08-11 15:23:30,17,5
2025-08-11 15:23:45,17,5
2025-08-11 15:24:00,115,5
2025-08-11 15:24:15,115,5
2025-08-11 15:24:30,21,5
2025-08-11 15:24:45,123,5
2025-08-11 15:25:00,123,5
2025-08-11 15:25:15,204,5
2025-08-11 15:25:30,11,5
2025-08-11 15:25:45,13,5
2025-08-11 15:26:00,19,5
2025-08-11 15:26:15,219,5
2025-08-11 15:26:30,14,5
2025-08-11 15:26:45,8,5
2025-08-11 15:27:00,8,5
2025-08-11 15:27:15,14,5
2025-08-11 15:27:30,14,5
2025-08-11 15:27:45,14,5
2025-08-11 15:28:00,14,5
2025-08-11 15:28:15,16,5
2025-08-11 15:28:30,12,5
2025-08-11 15:28:45,11,5
2025-08-11 15:29:00,11,5
2025-08-11 15:29:15,11,5
2025-08-11 15:29:30,11,5
2025-08-11 15:29:45,11,5
2025-08-11 15:30:00,12,5
2025-08-11 15:30:15,12,5
2025-08-11 15:30:30,13,5
2025-08-11 15:30:45,13,5
2025-08-11 15:31:00,13,5
2025-08-11 15:31:15,13,5
2025-08-11 15:31:30,13,5
2025-08-11 15:31:45,13,5
2025-08-11 15:32:00,13,5
2025-08-11 15:32:15,13,5
2025-08-11 15:32:30,21,5
2025-08-11 15:32:45,13,5
2025-08-11 15:33:00,13,5
2025-08-11 15:33:15,13,5
2025-08-11 15:33:30,11,5
2025-08-11 15:33:45,11,5
2025-08-11 15:34:00,12,5
2025-08-11 15:34:15,12,5
2025-08-11 15:34:30,12,5
2025-08-11 15:34:45,180,5
