"Time","Observed l","Defined l"
2025-08-11 15:50:30,2,3
2025-08-11 15:50:45,3,3
2025-08-11 15:51:00,2,3
2025-08-11 15:51:15,2,3
2025-08-11 15:51:30,3,3
2025-08-11 15:51:45,2,3
2025-08-11 15:52:00,3,3
2025-08-11 15:52:15,3,3
2025-08-11 15:52:30,3,3
2025-08-11 15:52:45,3,3
2025-08-11 15:53:00,3,3
2025-08-11 15:53:15,3,3
2025-08-11 15:53:30,1,3
2025-08-11 15:53:45,3,3
2025-08-11 15:54:00,3,3
2025-08-11 15:54:15,3,3
2025-08-11 15:54:30,3,3
2025-08-11 15:54:45,3,3
2025-08-11 15:55:00,2,3
2025-08-11 15:55:15,3,3
2025-08-11 15:55:30,3,3
2025-08-11 15:55:45,2,3
2025-08-11 15:56:00,3,3
2025-08-11 15:56:15,3,3
2025-08-11 15:56:30,2,3
2025-08-11 15:56:45,3,3
2025-08-11 15:57:00,3,3
2025-08-11 15:57:15,2,3
2025-08-11 15:57:30,2,3
2025-08-11 15:57:45,3,3
2025-08-11 15:58:00,3,3
2025-08-11 15:58:15,2,3
2025-08-11 15:58:30,3,3
2025-08-11 15:58:45,3,3
2025-08-11 15:59:00,3,3
2025-08-11 15:59:15,3,3
2025-08-11 15:59:30,3,3
2025-08-11 15:59:45,3,3
2025-08-11 16:00:00,3,3
2025-08-11 16:00:15,3,3
2025-08-11 16:00:30,3,3
2025-08-11 16:00:45,3,3
2025-08-11 16:01:00,3,3
2025-08-11 16:01:15,3,3
2025-08-11 16:01:30,3,3
2025-08-11 16:01:45,3,3
2025-08-11 16:02:00,3,3
2025-08-11 16:02:15,3,3
2025-08-11 16:02:30,3,3
2025-08-11 16:02:45,3,3
2025-08-11 16:03:00,3,3
2025-08-11 16:03:15,3,3
2025-08-11 16:03:30,3,3
2025-08-11 16:03:45,3,3
2025-08-11 16:04:00,3,3
2025-08-11 16:04:15,3,3
2025-08-11 16:04:30,3,3
2025-08-11 16:04:45,3,3
2025-08-11 16:05:00,3,3
2025-08-11 16:05:15,3,3
2025-08-11 16:05:30,3,3
2025-08-11 16:05:45,3,3
2025-08-11 16:06:00,3,3
2025-08-11 16:06:15,3,3
2025-08-11 16:06:30,3,3
2025-08-11 16:06:45,3,3
2025-08-11 16:07:00,3,3
2025-08-11 16:07:30,3,3
2025-08-11 16:07:45,3,3
2025-08-11 16:08:00,3,3
2025-08-11 16:08:15,3,3
2025-08-11 16:08:30,3,3
2025-08-11 16:08:45,3,3
2025-08-11 16:09:00,3,3
2025-08-11 16:09:15,3,3
2025-08-11 16:09:30,3,3
2025-08-11 16:09:45,3,3
2025-08-11 16:10:00,3,3
2025-08-11 16:10:15,3,3
2025-08-11 16:10:30,3,3
2025-08-11 16:10:45,3,3
2025-08-11 16:11:00,3,3
2025-08-11 16:11:15,3,3
2025-08-11 16:11:30,3,3
2025-08-11 16:11:45,3,3
2025-08-11 16:12:00,3,3
2025-08-11 16:12:15,3,3
2025-08-11 16:12:30,3,3
2025-08-11 16:12:45,3,3
2025-08-11 16:13:00,3,3
2025-08-11 16:13:15,3,3
2025-08-11 16:13:30,3,3
2025-08-11 16:13:45,3,3
2025-08-11 16:14:00,3,3
2025-08-11 16:14:15,3,3
2025-08-11 16:14:30,3,3
2025-08-11 16:14:45,3,3
2025-08-11 16:15:00,3,3
2025-08-11 16:15:15,2,3
2025-08-11 16:15:30,3,3
2025-08-11 16:15:45,3,3
2025-08-11 16:16:00,3,3
2025-08-11 16:16:15,3,3
2025-08-11 16:16:30,2,3
2025-08-11 16:16:45,2,3
2025-08-11 16:17:00,3,3
2025-08-11 16:17:15,3,3
2025-08-11 16:17:30,3,3
2025-08-11 16:17:45,3,3
2025-08-11 16:18:00,3,3
2025-08-11 16:18:15,3,3
2025-08-11 16:18:30,3,3
2025-08-11 16:18:45,3,3
2025-08-11 16:19:00,3,3
2025-08-11 16:19:15,3,3
2025-08-11 16:19:30,3,3
2025-08-11 16:19:45,3,3
2025-08-11 16:20:00,3,3
